VG,IDS,IGS,transistor,diff_VG,direction,log_IDS
-9.0,2.7910016342502786e-07,4.642464261905843e-07,0,,volta,-6.554239909213386
-8.899999618530273,2.731775907705014e-07,4.535822029083647e-07,0,0.10000038146972656,ida,-6.5635549294556546
-8.800000190734863,2.68332115638259e-07,4.45229858314633e-07,0,0.09999942779541016,ida,-6.5713273451820475
-8.699999809265137,2.6412388365315564e-07,4.3795029114335193e-07,0,0.10000038146972656,ida,-6.578192325526186
-8.600000381469727,2.602532163109572e-07,4.312488499635947e-07,0,0.09999942779541016,ida,-6.584603894603326
-8.5,2.565602699178271e-07,4.2481474338273983e-07,0,0.10000038146972656,ida,-6.59081059617378
-8.399999618530273,2.5301432060587103e-07,4.1861983390845126e-07,0,0.10000038146972656,ida,-6.596854897068861
-8.300000190734863,2.4949292765086284e-07,4.1244115323024744e-07,0,0.09999942779541016,ida,-6.60294176076499
-8.199999809265137,2.4602536541351583e-07,4.0636990661369055e-07,0,0.10000038146972656,ida,-6.60902011447703
-8.100000381469727,2.426176877179387e-07,4.0035942561189586e-07,0,0.09999942779541016,ida,-6.615077540657079
-8.0,2.390662245943531e-07,3.931721721528447e-07,0,0.10000038146972656,ida,-6.6214817769098735
-7.900000095367432,2.35519479474533e-07,3.8692698467457376e-07,0,0.09999990463256836,ida,-6.627973167182897
-7.800000190734863,2.3227846668305574e-07,3.8115624079182453e-07,0,0.09999990463256836,ida,-6.633991049494602
-7.699999809265137,2.2905769014869293e-07,3.754043689241371e-07,0,0.10000038146972656,ida,-6.640055123084237
-7.599999904632568,2.2579082781248871e-07,3.6958792293262377e-07,0,0.09999990463256836,ida,-6.646293704179565
-7.5,2.225423827439954e-07,3.637883594365121e-07,0,0.09999990463256836,ida,-6.65258726630559
-7.400000095367432,2.1933752236691362e-07,3.580433656225068e-07,0,0.09999990463256836,ida,-6.658887066621837
-7.300000190734863,2.1605340805308515e-07,3.5217300364820403e-07,0,0.09999990463256836,ida,-6.665438878684039
-7.199999809265137,2.1268093064463756e-07,3.461471749233169e-07,0,0.10000038146972656,ida,-6.672271447977257
-7.099999904632568,2.0955675950062869e-07,3.4050771091642673e-07,0,0.09999990463256836,ida,-6.678698325923064
-7.0,2.0644120013457723e-07,3.3488677786408516e-07,0,0.09999990463256836,ida,-6.685203624847632
-6.900000095367432,2.03420086108963e-07,3.2940536698333744e-07,0,0.09999990463256836,ida,-6.691606166184199
-6.800000190734863,2.0044934956331417e-07,3.2399950100625574e-07,0,0.09999990463256836,ida,-6.697995348650286
-6.699999809265137,1.973986485381829e-07,3.1850373716224567e-07,0,0.10000038146972656,ida,-6.704655824991706
-6.599999904632568,1.9425161212893727e-07,3.128229764115531e-07,0,0.09999990463256836,ida,-6.711635368224365
-6.5,1.9120294325603027e-07,3.072428569339536e-07,0,0.09999990463256836,ida,-6.718505426756495
-6.400000095367432,1.8816605518168217e-07,3.017088658907596e-07,0,0.09999990463256836,ida,-6.725458719787211
-6.300000190734863,1.8515679300890042e-07,2.9621375574606645e-07,0,0.09999990463256836,ida,-6.73246034998147
-6.199999809265137,1.8219296293864318e-07,2.907819407482748e-07,0,0.10000038146972656,ida,-6.7394684013253485
-6.099999904632568,1.792153625501669e-07,2.8534211082842376e-07,0,0.09999990463256836,ida,-6.7466247648480175
-6.0,1.7625632153794868e-07,2.799190781388461e-07,0,0.09999990463256836,ida,-6.753855297826976
